File,Hits,Tokens,Total
rhaddjr-e3,3,3,23
rhaddsr-1650-e3,31,31,110
rhaddsr-1670-e3,48,48,256
rhaddsr-1680-e3,4,4,12
rhaddsr-1700-e3,8,8,61
rhaddsr-1710-e3,4,4,18
rich-e2,18,18,69
richardson-1858-2,68,68,308
roberts-1726-2,103,101,404
robertson-1792-2,33,33,672
roper-e1,182,173,398
roxinden-1600-e2,4,4,19
roxinden-1620-e2,9,9,38
roxinden2-e2,5,5,35
rplumpt-e1,14,14,42
rplumpt2-e1,10,10,57
ruskin-1835-1,61,60,644
ruskin-1882-2,53,50,937
russell-e1,6,4,13
ryder-1716-1,153,153,689
salmon-1724-2,136,133,334
savill-e1,20,20,144
shakesp-e2,132,130,2443
shaw-1903-2,143,142,1000
sheridan-1756-2,108,106,345
skeavington-184x-1,133,131,479
smith-e2,210,205,973
smollett-175x-2,135,134,624
somers-e3,15,15,30
southard-e3,4,4,24
southey-1813-1,137,137,590
spencer-1680-e3,13,13,48
spencer-1700-e3,25,25,64
st-john-1711-2,156,154,478
stat-1500-e1,13,12,144
stat-1510-e1,0,0,53
stat-1530-e1,43,39,113
stat-1540-e1,20,18,89
stat-1550-e1,17,17,71
stat-1560-e1,16,15,37
stat-1570-e2,14,14,52
stat-1580-e2,20,20,102
stat-1590-e2,21,18,56
stat-1600-e2,26,26,95
stat-1620-e2,11,11,53
stat-1640-e2,31,28,71
stat-1660-e3,33,31,108
stat-1670-e3,21,19,39
stat-1690-e3,103,99,292
statutes-171x-1,24,24,192
statutes-1745-1,27,27,225
statutes-1775-1,39,36,222
statutes-1805-1,22,21,142
statutes-1835-1,37,36,171
statutes-1865-1,61,60,238
statutes-1895-1,36,34,342
stevens-1745-1,172,170,1052
stevenso-e1,153,153,1638
stokes-1887-2,80,80,339
stow-e2,157,157,699
strutt-1890-1,104,104,468
strype-e3,26,26,166
sturt-1890-2,130,130,815
sturt-1914-2,140,136,617
surety-e1,2,2,9
swift-1726-2,117,117,439
swift-1735-2,141,141,584
talbot-1901-1,94,93,519
talbot-e2,4,4,20
tbarring-e2,28,28,96
temple-1914-2,118,117,599
thackeray-1855-2,100,100,632
thompson-1859-2,86,86,548
thomson-1862-2,84,83,258
thoward-e1-h,3,3,11
thoward-e1-p1,4,4,17
thoward2-e2,387,385,1823
thring-187x-1,141,139,785
thring-1883-2,117,115,503
throckm-e1,192,186,799
tillots-a-e3,91,91,277
tillots-b-e3,137,136,335
tillots-c-e3,67,64,233
tindall-1814-1,85,84,465
torkingt-e1,94,93,1081
townley-1746-1,86,86,625
trevelyan-1911-2,127,127,392
trevelyan-1913-2,104,104,489
trincoll-e2,1,1,11
trollope-1879-2,159,159,636
trollope-1882-1,159,159,562
tunstall-e1-h,11,11,30
tunstall-e1-p1,14,13,45
turner-e1,104,104,656
turner1-1799-1,122,121,538
turner2-1800-1,109,109,527
turner3-1722-2,53,53,178
turnerherb-e1,9,9,52
tyndnew-e1,229,227,3071
tyndold-e1,190,188,2963
udall-e1,143,142,1881
