File,Hits,Tokens,Total
STAT-1670-E3,22,22,133
STAT-1690-E3,125,125,1015
STATUTES-171X-1,9,9,307
STATUTES-1745-1,10,10,286
STATUTES-1775-1,18,18,303
STATUTES-1805-1,3,3,299
STATUTES-1835-1,30,30,450
STATUTES-1865-1,64,64,388
STATUTES-1895-1,51,51,409
STEVENS-1745-1,134,134,1200
STEVENSO-E1,154,154,1840
STOKES-1887-2,81,81,720
STOW-E2,257,257,1312
STRUTT-1890-1,102,102,794
STRYPE-E3,41,41,268
STURT-1890-2,122,122,1016
STURT-1914-2,131,131,923
SURETY-E1,2,2,7
SWIFT-1726-2,139,139,859
SWIFT-1735-2,141,141,928
TALBOT-1901-1,114,114,918
TALBOT-E2,3,3,22
TBARRING-E2,21,21,136
TEMPLE-1914-2,161,161,1018
THACKERAY-1855-2,132,132,1060
THOMPSON-1859-2,123,123,733
THOMSON-1862-2,63,63,603
THOWARD-E1-H,3,3,26
THOWARD-E1-P1,9,9,23
THOWARD2-E2,485,485,3439
THRING-187X-1,141,141,998
THRING-1883-2,73,73,879
THROCKM-E1,266,266,1624
TILLOTS-A-E3,114,114,594
TILLOTS-B-E3,135,135,847
TILLOTS-C-E3,97,97,559
TINDALL-1814-1,94,94,766
TORKINGT-E1,473,473,1653
TOWNLEY-1746-1,166,166,1064
TREVELYAN-1911-2,106,106,664
TREVELYAN-1913-2,132,132,808
TRINCOLL-E2,1,1,9
TROLLOPE-1879-2,170,170,1099
TROLLOPE-1882-1,204,204,984
TUNSTALL-E1-H,12,12,116
TUNSTALL-E1-P1,15,15,97
TURNER-E1,258,258,1549
TURNER1-1799-1,122,122,808
TURNER2-1800-1,111,111,737
TURNER3-1722-2,55,55,478
TURNERHERB-E1,9,9,75
TYNDNEW-E1,1601,1601,5302
TYNDOLD-E1,1385,1385,3424
UDALL-E1,190,190,1897
UNDERHILL-E1,93,93,583
VANBR-E3,283,283,2739
VICARY-E1,570,570,1945
VICTORIA-186X-DIARY-2,164,164,1130
VICTORIA-186X-OFFICIAL-LETTERS-2,118,118,985
VICTORIA-186X-PRIVATE-LETTERS-1,193,193,1033
WALPOLE-174X-1,135,135,1086
WALPOLE-179X-2,164,164,1105
WALTON-E3,365,365,1669
WATSON-1817-1,245,245,3442
WATTS-1726-2,110,110,649
WCECIL-1560-E1,25,25,128
WCECIL-1580-E2,19,19,108
WEATHERS-1913-1,121,121,630
WEBSTER-1718-1,28,28,182
WELLESLEY-1815-1,141,141,979
WESLEY-174X-1,190,190,1102
WESLEY-1750-2,35,35,344
WESLEY-1755-2,57,57,541
WHEWELL-1837-1,117,117,782
WHITE-1784-2,100,100,781
WHITEFIELD-1737-2,113,113,812
WILDE-1895-1,94,94,1191
WILLIAM-1832-2,85,85,829
WOLLASTON-1793-1,96,96,781
WOLLSTONECRAFT-1787-2,186,186,1087
WOLSEY-E1,23,23,236
WOOD-1864-2,129,129,780
WPASTON2-E2,4,4,34
WPLUMPT-1500-E1,13,13,41
WPLUMPT-1510-E1,4,4,14
WPLUMPT-1530-E1,6,6,24
WYLD-1725-2,142,142,617
YONGE-1865-1,176,176,1048
ZOUCH-E3,4,4,32
