File,Hits,Tokens,Total
STAT-1660-E3,0,0,309
STAT-1670-E3,0,0,109
STAT-1690-E3,0,0,869
STATUTES-171X-1,0,0,276
STATUTES-1745-1,0,0,241
STATUTES-1775-1,0,0,251
STATUTES-1805-1,0,0,269
STATUTES-1835-1,18,18,391
STATUTES-1865-1,0,0,250
STATUTES-1895-1,0,0,226
STEVENS-1745-1,74,74,487
STEVENSO-E1,192,192,933
STOKES-1887-2,7,7,445
STOW-E2,1,1,740
STRUTT-1890-1,5,5,344
STRYPE-E3,0,0,147
STURT-1890-2,42,42,423
STURT-1914-2,30,30,411
SURETY-E1,0,0,4
SWIFT-1726-2,0,0,479
SWIFT-1735-2,9,9,503
TALBOT-1901-1,29,29,477
TALBOT-E2,0,0,8
TBARRING-E2,0,0,69
TEMPLE-1914-2,20,20,551
THACKERAY-1855-2,47,47,500
THOMPSON-1859-2,0,0,247
THOMSON-1862-2,2,2,371
THOWARD-E1-H,0,0,22
THOWARD-E1-P1,0,0,12
THOWARD2-E2,95,95,1805
THRING-187X-1,16,16,410
THRING-1883-2,12,12,464
THROCKM-E1,95,95,967
TILLOTS-A-E3,14,14,370
TILLOTS-B-E3,9,9,576
TILLOTS-C-E3,20,20,386
TINDALL-1814-1,5,5,403
TORKINGT-E1,0,0,685
TOWNLEY-1746-1,105,105,639
TREVELYAN-1911-2,12,12,300
TREVELYAN-1913-2,4,4,340
TRINCOLL-E2,0,0,6
TROLLOPE-1879-2,38,38,528
TROLLOPE-1882-1,5,5,446
TUNSTALL-E1-H,0,0,92
TUNSTALL-E1-P1,0,0,67
TURNER-E1,7,7,1035
TURNER1-1799-1,3,3,322
TURNER2-1800-1,1,1,318
TURNER3-1722-2,1,1,325
TURNERHERB-E1,0,0,35
TYNDNEW-E1,216,216,2361
TYNDOLD-E1,74,74,1488
UDALL-E1,218,218,841
UNDERHILL-E1,12,12,303
VANBR-E3,227,227,1289
VICARY-E1,0,0,943
VICTORIA-186X-DIARY-2,11,11,497
VICTORIA-186X-OFFICIAL-LETTERS-2,17,17,601
VICTORIA-186X-PRIVATE-LETTERS-1,14,14,458
WALPOLE-174X-1,25,25,564
WALPOLE-179X-2,44,44,623
WALTON-E3,34,34,953
WATSON-1817-1,604,604,1915
WATTS-1726-2,1,1,352
WCECIL-1560-E1,0,0,68
WCECIL-1580-E2,0,0,72
WEATHERS-1913-1,2,2,259
WEBSTER-1718-1,6,6,122
WELLESLEY-1815-1,4,4,568
WESLEY-174X-1,11,11,450
WESLEY-1750-2,33,33,228
WESLEY-1755-2,20,20,327
WHEWELL-1837-1,24,24,440
WHITE-1784-2,14,14,432
WHITEFIELD-1737-2,39,39,570
WILDE-1895-1,80,80,472
WILLIAM-1832-2,0,0,599
WOLLASTON-1793-1,7,7,482
WOLLSTONECRAFT-1787-2,17,17,524
WOLSEY-E1,1,1,177
WOOD-1864-2,4,4,406
WPASTON2-E2,0,0,10
WPLUMPT-1500-E1,0,0,20
WPLUMPT-1510-E1,0,0,7
WPLUMPT-1530-E1,0,0,14
WYLD-1725-2,0,0,330
YONGE-1865-1,39,39,477
ZOUCH-E3,0,0,25
