File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
GCROMW-E1,1534,Letters,56,19,12,21,0,75,33,108
GEORGE-1763-1,1763,Letters,296,77,43,180,8,373,231,604
GIBBON-1776-1,1776,Non-fiction,226,78,147,291,0,304,438,742
GIBBON-1789-2,1789,Non-fiction,238,57,131,238,3,295,372,667
GIBSON-1729-2,1729,Non-fiction,520,94,114,109,0,614,223,837
GIFFORD-E2,1593,Non-fiction,1296,240,346,823,171,1536,1340,2876
GISBORNE-1802-2,1802,Sermon,482,78,48,328,99,560,475,1035
GLADSTONE-1873-1,1873,Letters,480,177,123,515,25,657,663,1320
GODWIN-1805-1,1805,Fiction,384,135,127,438,8,519,573,1092
GOLDSMITH-1766-2,1766,Fiction,537,155,192,358,28,692,578,1270
GOLDSMITH-1773-1,1773,Drama,396,126,104,696,98,522,898,1420
GORDON-1781-2,1781,Legal,1748,390,313,1764,401,2138,2478,4616
GPOOLE-1500-E1,1504,Letters,114,22,39,35,0,136,74,210
GPOOLE-1510-E1,1515,Letters,59,15,23,13,0,74,36,110
GRAFTING-1780-1,1780,Non-fiction,407,89,122,232,1,496,355,851
GREEN-1874-2,1874,Non-fiction,282,111,169,313,4,393,486,879
GREVILLE-1827-2,1827,Diaries,594,131,201,403,1,725,605,1330
GREVILLE-1855-2,1855,Diaries,594,176,189,326,4,770,519,1289
GREY-1914-2,1914,Letters,760,191,77,381,3,951,461,1412
GREY-E1,1523,Letters,4,0,1,2,0,4,3,7
HARDY-1874-2,1874,Fiction,412,133,190,633,61,545,884,1429
HARE-183X-2,1832,Sermon,500,131,105,377,63,631,545,1176
HARLEY-E2,1629,Letters,131,37,53,86,0,168,139,307
HARLEYEDW-E2,1638,Letters,224,46,70,129,0,270,199,469
HARMAN-E1,1568,Fiction,843,189,478,530,48,1032,1056,2088
HARRIS-177X-2,1775,Letters,517,171,122,302,0,688,424,1112
HARRIS-1797-2,1797,Letters,866,165,64,209,0,1031,273,1304
HATCHER-E2,1580,Letters,8,3,3,4,0,11,7,18
HAYDON-1808-1,1808,Diaries,396,123,144,553,47,519,744,1263
HAYDON-1842-2,1842,Diaries,409,103,163,661,25,512,849,1361
HAYWARD-E2,1612,Non-fiction,753,182,192,401,9,935,602,1537
HEBER-1815-2,1815,Sermon,486,107,93,137,6,593,236,829
HENRY-1510-E1,1515,Letters,16,4,2,7,0,20,9,29
HENRY-1520-E1,1524,Letters,93,12,13,13,0,105,26,131
HENRY-1530-E1,1531,Letters,25,7,7,4,0,32,11,43
HERSCHEL-1797-1,1797,Non-fiction,284,106,117,353,0,390,470,860
HIND-1707-1,1707,Non-fiction,461,136,100,191,0,597,291,888
HOBSON-173X-2,1733,Diaries,340,75,83,421,0,415,504,919
HOBY-E2,1600,Diaries,485,149,970,1161,0,634,2131,2765
HODGKIN-1880-2,1880,Non-fiction,329,114,71,226,2,443,299,742
HOLCROFT-1794-2,1794,Fiction,567,130,141,409,63,697,613,1310
HOLMES-LETTERS-1749-1,1749,Letters,375,76,74,115,7,451,196,647
HOLMES-TRIAL-1749-1,1749,Legal,1051,146,269,1092,521,1197,1882,3079
HOOKE-E3,1665,Non-fiction,1087,191,257,205,3,1278,465,1743
HOOKER-A-E2,1614,Sermon,498,76,73,243,44,574,360,934
HOOKER-B-E2,1614,Sermon,443,57,66,261,63,500,390,890
HOOLE-E3,1660,Non-fiction,1072,258,177,199,4,1330,380,1710
HOXINDEN-1640-E3,1648,Letters,192,51,31,128,2,243,161,404
HOXINDEN-1650-E3,1652,Letters,304,59,56,114,0,363,170,533
HOXINDEN-1660-E3,1663,Letters,221,56,60,157,0,277,217,494
HUME-1757-2,1757,Non-fiction,375,119,112,260,0,494,372,866
HUME-1776-2,1776,Non-fiction,109,39,46,97,0,148,143,291
HUNT-1844-2,1844,Non-fiction,327,72,81,247,4,399,332,731
HUXLEY-186X-2,1867,Non-fiction,464,96,94,236,36,560,366,926
HUXLEY-1889-2,1889,Non-fiction,229,56,69,116,1,285,186,471
INCHBALD-1793-2,1793,Drama,427,146,120,598,92,573,810,1383
INNES-1902-2,1902,Non-fiction,250,112,126,367,1,362,494,856
INTERVIEW-E1,1520,Letters,14,2,3,2,0,16,5,21
